               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10208,            0.025859,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,              0.0015,              0.0015,              0.0865
                   1,            0.087344,            0.021142,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0030693,           0.0030693,            0.072069
                   2,            0.079633,            0.019074,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0046069,           0.0046069,            0.057607
                   3,             0.07727,            0.016496,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0061129,           0.0061129,            0.043113
                   4,            0.072844,            0.018102,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0075872,           0.0075872,            0.028587
                   5,            0.074384,            0.019626,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,           0.0090297,           0.0090297,             0.01403
                   6,             0.07357,            0.018593,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.009406,            0.009406,            0.009406
                   7,            0.074805,            0.016753,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.066901,             0.01735,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.064027,            0.017065,                   0,           0.0019608,             0.34483,           0.0023587,          0.00047325,            0.092542,              58.512,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.060691,             0.01581,                   0,            0.068783,             0.44828,            0.068672,             0.01521,            0.082827,             0.82469,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.060608,            0.016762,                   0,             0.19061,              0.7069,             0.20664,            0.054449,            0.069711,              0.2604,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.060527,            0.015069,                   0,             0.44778,             0.62069,             0.46438,             0.15776,            0.068204,             0.13937,                   0,            0.008911,            0.008911,            0.008911
                  13,              0.0603,            0.014628,                   0,             0.44126,             0.39655,             0.31517,             0.11334,            0.061695,            0.068676,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.059308,            0.016067,                   0,             0.37977,                 0.5,             0.35895,             0.11989,            0.054418,            0.030894,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.05539,            0.015515,                   0,             0.86997,             0.46552,             0.49258,             0.14381,            0.061368,            0.017207,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.056375,            0.015369,                   0,             0.93995,             0.55172,             0.72565,             0.31731,            0.053347,            0.019347,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.056891,            0.015261,                   0,             0.69837,             0.75847,             0.77555,             0.34932,            0.049344,             0.01824,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.056457,            0.016006,                   0,             0.16748,             0.27586,            0.099238,            0.039006,            0.083256,            0.032543,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.054458,            0.016497,                   0,             0.31045,             0.37266,              0.2302,            0.078806,            0.075709,            0.028761,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.053291,            0.015026,                   0,             0.90698,             0.84483,             0.89539,             0.40756,            0.049421,             0.01687,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.055794,            0.017099,                   0,             0.84898,             0.77538,             0.82524,              0.3036,            0.055084,            0.016076,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.054982,            0.015202,                   0,             0.90903,             0.68966,             0.76704,             0.26878,            0.052085,            0.015396,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.054211,            0.015439,                   0,             0.92015,             0.81034,             0.92915,             0.41688,            0.047026,            0.014934,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.052672,            0.016034,                   0,             0.83898,             0.72414,             0.82224,             0.30389,            0.052894,            0.014128,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.050407,            0.014877,                   0,             0.96076,             0.84435,             0.93815,             0.42411,            0.042101,            0.014163,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.049239,            0.014724,                   0,              0.8663,             0.89655,             0.91546,             0.44497,            0.046279,            0.014405,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.050547,            0.015279,                   0,             0.87909,              0.8775,             0.92884,             0.43285,            0.042862,            0.013743,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.050176,            0.014615,                   0,             0.76269,             0.77575,              0.8122,             0.30578,            0.044328,            0.014139,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.050196,            0.015475,                   0,             0.81128,              0.7412,             0.80467,             0.30764,            0.051183,            0.013924,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.050574,              0.0133,                   0,             0.82136,             0.79273,             0.81072,             0.33835,             0.05299,            0.013893,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.054996,             0.01616,                   0,             0.75367,             0.84404,             0.84198,             0.38306,            0.051868,            0.013174,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.053024,            0.016143,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.054777,            0.017054,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.056395,            0.017805,                   0,            0.002142,              0.2931,           0.0012726,          0.00056223,             0.10341,                 nan,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.057338,            0.016633,                   0,           0.0044506,             0.32759,           0.0030351,           0.0010113,            0.091986,            0.065467,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.053574,             0.01538,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.054215,            0.014781,                   0,          0.00035398,            0.017241,          0.00018086,          9.0432e-05,                 nan,                 nan,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.054373,             0.01528,                   0,             0.49971,             0.67165,             0.44808,              0.2034,            0.050551,            0.021339,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.050125,            0.014719,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.049509,            0.015024,                   0,             0.81965,             0.86194,             0.91315,             0.40872,            0.044008,            0.014144,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.050309,             0.01486,                   0,             0.75335,              0.7931,             0.87873,             0.44414,            0.043286,            0.014172,                   0,             0.00604,             0.00604,             0.00604
